# source-revision: 19b8d837f320e848983d420287e05bf356977bac
# paired-canonical-sha256: b90c484664d05a81921bcd2d3b709baf3150e65eb6ca207e9f794f04e2e7217c
# sole-call-sha256: 433575e25e9fb69f7899ae42c8d86ff1fddbf0fdbba75dd5a65c7d1dcdeaa463
# sole-distinct-pair-sha256: 82bdcf80d68b72311786cc9502c62c055ac64d20b734d19b36a7bcf5218b226a
source_file	helper	assertion_name	literal	resolved_target	target_defaulted	disposition	call_sha256
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#167 AC3-mp: deleting the independent-enumeration requirement turns its critic pin RED"""	"""re-enumerate that population by a signal OTHER than the"""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	redundant_retire	
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#184: deleting the audit heading turns its pin RED"""	"""### 1.6 Issue-Claim Audit"""	null	false	prose_retire	1c7cc51f19944060f36d02c71963b753283d0f739d66691645be6ad4b3afeb27
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#192 agent-mandate: deleting the never-mutate/mktemp-copy mandate from $review_agent turns its pin RED"""	"""on a temporary copy made with `mktemp`, never in place"""	"""agents/$review_agent.md"""	false	convert_presence	06a5faecae4168e7e3c9fe4aae9daf4efa9c57356cdcece3dcd502e55886afac
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#192 agent-mandate: deleting the primary write-prohibition from $review_agent turns its pin RED"""	"""modify working-tree source files, the index, HEAD, or branch state"""	"""agents/$review_agent.md"""	false	convert_presence	50cdbbc5cbb7238239d84aacdf0cab80029dafff657ccc39c698a891a69bb9d2
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#192 agent-mandate: deleting the primary write-prohibition from the requesting-code-review final-pass turns its pin RED"""	"""Do not mutate the working tree, the index, HEAD, or branch state in any way"""	"""skills/requesting-code-review/code-reviewer.md"""	false	convert_presence	afa7cf7b821aa504d9ef94d4876236bf3a5c7d975538819efe9a4c8153a9f5c2
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#192 agent-mandate: deleting the unavailable-mutation refusal from the requesting-code-review final-pass turns its pin RED"""	"""Do not attempt `git worktree add`, `mktemp`, or a mutation/half-revert"""	"""skills/requesting-code-review/code-reviewer.md"""	false	convert_presence	5f9e491c990688ade06911038abab6b1062fc0687841d79cd3257c3b5ecdc68a
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#192 backstop: deleting the Phase-3-aggregation finding-injection sentence turns its pin RED"""	"""add an **Important** finding to the Phase 3 findings set"""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	convert_presence	783ba786c66733f39bdcfeae0af208ffdf7d15ab28d24b42c095fd22b71deada
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#192 backstop: deleting the post-restore tree-state re-check turns its pin RED"""	"""[ -n \""$(git status --porcelain -- \""$p\"")\"" ]"""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	replace_behavioral	7feaed3fcd9524ca399b363228cbaf61e13f0d2f72abbc85c3b510e0cec7cd88
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#192 backstop: deleting the restore-from-HEAD checkout action turns its pin RED"""	"""git checkout HEAD -- \""$p\"""""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	replace_behavioral	47cb97607b064ffb2ad9cd0f27288ef4d9dd03a41110c045d5cb5a54e0951472
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#192 backstop: deleting the snapshot-delta-scoped restore turns its pin RED"""	"""restore only the snapshot-delta paths"""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	convert_presence	e8cd2c5b19ca0e85a5a4bdd8f946a750926f6e9c1e7876ba6e97e098f1471802
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#192 backstop: deleting the untracked-file-never-auto-deleted safety rule turns its pin RED"""	"""never auto-deleted; git said"""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	convert_presence	95ac71f09b1b2a97201fc1f4232350d9a85b22826257f5249cf0138a40093367
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#194 (B) implement: deleting the assertion-count-rose conjunct turns its pin RED"""	"""the suite's assertion count rose"""	"""/__pin_corpus_runtime__/DEF_SKILL"""	false	convert_presence	15fc04046a1ddd9361604f7f51252bf7a1c40b3ca2954cfdc93a5b120fdbd9b0
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#194 (B) implement: deleting the confirm-guard-registered directive turns its pin RED"""	"""confirm the guard registered"""	"""/__pin_corpus_runtime__/DEF_SKILL"""	false	convert_presence	78d75fecf67ef90a504ebb7e9058c568363e069fb214e9b3dda7c9d92cb1960e
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#194 (B) review-and-fix: deleting the assertion-count-rose conjunct turns its pin RED"""	"""the suite's assertion count rose"""	"""/__pin_corpus_runtime__/MAXI_SKILL"""	false	convert_presence	df3f38a51509fc7c720bd40c5d394e697e23216bd3bf1140ce0a597dfe30b0d8
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#194 (B) review-and-fix: deleting the confirm-guard-registered directive turns its pin RED"""	"""confirm the guard registered"""	"""/__pin_corpus_runtime__/MAXI_SKILL"""	false	convert_presence	dcfb747b2599671c0db26eeb7bcf1fc913aeebe73f5759a355ae193caff0f7bd
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#216 backstop: deleting the after-dispatch -z snapshot capture turns its pin RED"""	"""git status --porcelain -z > \""${GIT_SNAP_AFTER:-.devflow/tmp/review-dirty-tree-after}\"""""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	replace_behavioral	c8e998c1e2a0901d1c1b0c76813cc409e7d0e6fa21847d2b76c16ae5445e70fa
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#216 backstop: deleting the by-path BEFORE-membership probe turns its pin RED"""	"""grep -qzxF -- \""${rec:3}\"" \"".devflow/tmp/review-dirty-tree-before-paths\"""""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	replace_behavioral	15b57adf5da6650f661418e874e2e234d77fac4e3030f6e627a5869a4ebd25e8
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#216 backstop: deleting the cmp-based compare-after divergence trigger turns its pin RED"""	"""cmp -s \""${GIT_SNAP_BEFORE:-.devflow/tmp/review-dirty-tree-before}\"" \""${GIT_SNAP_AFTER:-.devflow/tmp/review-dirty-tree-after}\"""""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	replace_behavioral	5837e53870a7def74ac4bca44f7ab956ab11df23058cf05db3b36e00fcd7a582
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#216 backstop: deleting the empty-restore-set branch condition turns its pin RED"""	"""[ ! -s \"".devflow/tmp/review-dirty-tree-changed-paths\"" ]"""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	replace_behavioral	0f6261ae437c0df619848d7aa1baafad8e63db2dd403325d265fad1077453488
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#216 backstop: deleting the pre-dispatch -z snapshot capture turns its pin RED"""	"""git status --porcelain -z > \""${GIT_SNAP_BEFORE:-.devflow/tmp/review-dirty-tree-before}\"""""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	replace_behavioral	4dfa3bb7e965ca824572cc9f6488a264bf1652e5d0ae969d3790899b8a9a4a30
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#216 backstop: deleting the rename surfaced-not-restored routing turns its pin RED"""	""">> \"".devflow/tmp/review-dirty-tree-renamed-paths\"""""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	replace_behavioral	e945e8dec0807d514acc6701e80a87bf5b3976b39fa3601f0ec8ae540e54ea0f
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#216 backstop: flipping the restore direction off the grep-rc-1 (absent) branch turns its pin RED"""	"""[ \""$gmrc\"" -eq 1 ]"""	"""/__pin_corpus_runtime__/REVIEW_BUNDLE"""	false	replace_behavioral	44a89f12b4d99d11105062aedfa6b4e20c7e98a7b6d9361a19347428a5c257c6
"""lib/test/run.sh"""	assert_pin_red_on_removal	"""#232/#362: orchestrator AC4 scope mirror flips RED on removal"""	"""scoped to **subagent** returns, not the Phase 2/3 subagent returns"""	"""skills/implement/SKILL.md"""	false	redundant_retire	
