adjudication_key	base_state	current_state
literal:03dd692a3dcfbc75fe06e44e0f7b204a74427d2008ab022655632b71c7584a16	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the fail-closed limb in loop-exit.md stating that an empty or errored `git diff` is not exempt. This is the exemption's own fail-closed condition, which is exactly the class this repo will not let lapse silently; read only by the agent, so it fails closed.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the fail-closed arm covering an empty or errored git diff on the same loop-exit.md line. Sole home; the run.sh pin over the same fail-closed rule was already adjudicated prose and retired under #885, and no parser reads the sentence.""]"
literal:154ff9b5eac6cda80bc2ef6b7130d39e122155f1ca207e865ec993c9ebab76da	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the named degraded path 'hand-runs the review engine via direct `Agent` dispatch' in skills/review-and-fix/references/error-handling.md. It names the bypass the telemetry obligation must still cover; agent-read only, so it fails closed.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the named direct-Agent bypass in error-handling.md. Sole home; nothing in lib/, scripts/, or .github/ references error-handling.md at all, let alone parses it.""]"
literal:1558ce6398bed02fc459f37ee84180710a6c1d1174bc1ce1d0a61ea4d7b10ca1	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the accounting rule in shadow-review.md that a promoted iteration 2 counts toward the cap. It is the sentence that keeps promotion from evading MAX_ITERS, whose clamp this module tests executably; the prose itself has no parser, so it fails closed.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the iteration-accounting rule in shadow-review.md that a promoted iteration 2 counts toward the cap. Sole home; the cap itself is enforced by the agent-executed MAX_ITERS clamp, and no helper derives cap accounting from this sentence.""]"
literal:1a7b2f8cfffa4e0d69bbb82cce56dd104c7e69b66d1a404a98ef3acc79b4e783	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the 'type <fn> >/dev/null 2>&1' recipe inside guard-class shape 1 of the review-and-fix prompt extension, which is the sourceability probe the extension tells the reviewer to demand. Loaded by scripts/load-prompt-extension.sh; the literal is read by the agent, not parsed, so it fails closed.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the sourceability probe recipe inside guard-class shape 1 of the review-and-fix prompt extension. Directly probed: the file carries zero fenced code blocks, so extract-command-heads.py and extract-command-shapes.py cannot see it, and it is absent from every scanned population in lib/test/run.sh; the `type` head is therefore never reconciled against lib/capability-profiles.json.""]"
literal:1ae854487412857ef81de0bc90b83c44bc4c323de5f8949841a8817e852d1b5d	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the mutation-check evidence requirement in fixing.md ('the behavior you broke and the executable test you observed go RED'). Its twin obligation in skills/receiving-code-review/SKILL.md is separately pinned and already adjudicated a completion-evidence boundary, so this copy is retained on the same ground.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the executable-RED evidence requirement in fixing.md. A claimed verbatim second home in .devflow/prompt-extensions/implement.md was checked directly and REFUTED: an exact-string grep over the whole tree returns only fixing.md, this module's pin, and the corpora, so the extension's sentence is a reword this substring pin never held. The twin obligation in skills/receiving-code-review/SKILL.md carries its own separately adjudicated pin and is unaffected.""]"
literal:2fdee39b645560a2be3f42952185c7ab0c95b46a8caeadecba82a4a91f1cc03e	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the logs-only post-shadow exemption limb in skills/review-and-fix/references/loop-exit.md. The literal is also carried by .devflow/logs/red-on-removal-retirement-manifest.tsv, so a frozen retirement record references it; agent-read prose otherwise, fails closed.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the logs-only post-shadow exemption arm in loop-exit.md. Sole home; the only references to loop-exit.md in lib/ and scripts/ are comments in lib/efficiency-trace.sh, which consumes .devflow/logs/ only as its own write-path prefix and never this sentence.""]"
literal:3163f27c204c785532025d6dc9e3cf5ce49352eb2535fac7bad79deba2dd75ea	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the no-fix-iteration bypass ('skip the gate for that iteration') in fix-delta-gate.md. It is the gate's one sanctioned exemption, so its wording bounds the exemption; agent-read only, fails closed.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the no-fix-iteration skip arm in fix-delta-gate.md, the gate's one sanctioned exemption. Sole home; no tool reads it.""]"
literal:3da4182939b6b7d0357cf6fed60048f6ee9889ca79679e90d70bc4cab06e6acc	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the integer-validation ERE in the shipped max_iterations recipe at skills/review-and-fix/references/loop-control.md, which the agent executes. The coupling is real and in-module: _raf_maxi_clamp reimplements that recipe and its clamp assertions (non-integer and float fall back to 5) are only tied to the shipped text by this pin.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the integer-validation ERE in loop-control.md's max_iterations clamp recipe. Sole home (fragment sweep clean); the module's _raf_maxi_clamp is a lib/test reimplementation, which the census excludes by design and which is not a consumer. Mutation-probed: extract-command-heads.py and extract-command-shapes.py emit byte-identical output over the mutated recipe, so neither lint reads it. config.schema.json states the fallback rule in prose, not this regex.""]"
literal:5375c2064ada5b76f158e82ed6d96086fdb7bc25a65ffef018ed09f227ef4833	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the '\""$MAX_ITERS\"" -lt 1' below-floor branch of the same loop-control.md recipe, mirrored by the _raf_maxi_clamp 'zero floors to one' and 'negative floors to one' assertions in this module. The pin is the only link between the tested mirror and the shipped recipe.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the below-floor clamp arm of the same loop-control.md recipe. Sole home; no head or shape extractor emits anything for a bracket test, and no helper greps the recipe. The clamp's floor behavior is separately covered by executable assertions against config.schema.json's minimum.""]"
literal:53b97c011cb8d0d0ae7804d12e39f2b3986e5879e4390918d0571298d959f147	"[""boundary"",""maintainer adjudication (#946): newly visible; pins the pushback outcome in fixing.md for a prescription the source of truth contradicts. The behavior is recorded in CHANGELOG.md as shipped, but nothing parses the sentence, so it fails closed.""]"	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the pushback routing clause in fixing.md item 2. Sole home. The machine-consumed token on that same line is the skip_category enum value read from fix_decisions, which is NOT inside this literal and whose authoritative home is the skip_category table further down the file, so retiring this pin leaves that vocabulary intact.""]"
