adjudication_key	base_state	current_state
literal:0820852b021c0045882e0e43a2babacc4a6d2026472159b564b8f20e5a9bd9ac	null	"[""boundary"",""maintainer adjudication: partial-discovery marker is an external-helper protocol boundary""]"
literal:0d194d2adf291a10c8a038340f7f997df4291574aed220774efbb52cf9370d48	null	"[""boundary"",""maintainer adjudication: review CF: config/helper boundary: sev(rev): reads verdict_severity_threshold via config-get.sh""]"
literal:25e452281a0bf6fd15e5ee20b0c8befaccd86ae768571ff154be5c83e8511ea4	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:2aa7a94860b0ac22d32ca4663980dbb2c4a32d34f9c32b3ae5ea1542c65186b0	null	"[""boundary"",""maintainer adjudication: deferral discovery call is an external-helper boundary""]"
literal:2db5281e6a9dced3f3c457a2121c9b859ef1175eb6df89c392534b99f86443af	"[""boundary"",""maintainer adjudication: review CF: config/helper boundary: sev(rev): reads verdict_severity_threshold via config-get.sh""]"	null
literal:2e14c6005d3e4d82477f8842081339735dac3f58508debc614abc8530ad06ecf	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:362d12e8f60cfe73154fafbad9f090e69e15d9899c9853f9500da5d0d3978dac	"[""boundary"",""maintainer adjudication: deferral discovery call is an external-helper boundary""]"	null
literal:378f9ef81652be70ac8c24cd5f5095eeb15b32a2d70672b0f6f4c77339c2da23	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:3e34c79e5ff2cfd0f15c36583d0a4fd50643e473c313621d75a56e68e4739287	null	"[""boundary"",""maintainer adjudication: review SL: stale-lint helper/sentinel boundary: #424 T11 engine arm(a) names provision_env as the precondition of the config bridge""]"
literal:4163c1fadd10d8af0ee5f39937c1a034073fc09433fe303967a2abcff01c97de	null	"[""boundary"",""maintainer adjudication: create-issue CF: fail-closed config/capability gate or reason-selection contract: SKILL documents the type-tolerant jq fallback read of workflows.devflow (repo-root anchored, string-truthy, top-level-tolerant)""]"
literal:42abca1bb80d12fa2317af5bc77d2c8836e3f15b1a8026179073cbe5122eaa32	null	"[""boundary"",""maintainer adjudication: review-and-fix FAIL_CLOSED: Provides the configuration-read failure breadcrumb.""]"
literal:455d3d66cd10e932a221ce9fefd581510e5ebb1491145605d0a83c5740ada812	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:48b1784037aa2e00b0185acb268a8c87e6d6088fc1dab818de00b806aab2a4fb	null	"[""boundary"",""maintainer adjudication: review-and-fix CONFIG_ROUTING: Pins the config lookup path and default used for routing.""]"
literal:4ddeeac90dc856929d94d1a1271bbcc3f8ab46ffaeb91056f9e304eb5d73acc7	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:5ca35b2520d1cbb57c09716dc43b1f61bb2bbbbf759448b2657d33558376ad0f	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:65e1c1dedb6df51068caadbeca20013198b677875766228fd4c2baf575d344de	"[""boundary"",""maintainer adjudication: create-issue EH: external helper, portable anchor, root binding, path display, or label outcome contract: create-issue displays the draft at the bound-root ABSOLUTE path""]"	null
literal:670471d40063dce62732639e72574a4ca5ecab6168937fa37f183681bd58850e	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:6ba90c775eed794475bfe05b46547a53ba81d6cba770679ed9e8a796d5fdfde5	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:6c1e74f39fe8b2aa7dd009ad14b8e5c85982531bd9dda4dbefc8af9ceee5e6ff	"[""boundary"",""maintainer adjudication: targeted efficiency persistence call is an external-helper boundary""]"	null
literal:709382affd7e3540e6afff8268d582be2a33cf05816c3c4408e4c51fd54f8dac	null	"[""boundary"",""maintainer adjudication: discovery roots marker is an external-helper output boundary""]"
literal:71db56fc589fde766e89fc4b29119f473cda30998113e7620a1c27a953f3e43d	"[""boundary"",""Concrete cross-phase handoff file consumed by the agent.""]"	null
literal:7876ae7b58e73faa6508492e08a1f8ec143ab7682475ada52e689e5eeb28567c	null	"[""boundary"",""Concrete cross-phase handoff file consumed by the agent.""]"
literal:7d31022e37cf9ae91e95aa76df635d105fda9c705077bb6ff7ed1487eb269e4b	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:827a7dc5efcff82873a8b16f5143ef5f23bd2c4f766cd9cbe0f218604b481564	"[""boundary"",""maintainer adjudication: final-modules vendored-routing: Keeps workflow dedupe routed through the vendored shared detector.""]"	null
literal:84e2059bc4402d9d5fe06f4c4e9e73174ef6670de3a64c8bdc32a301510559c5	null	"[""boundary"",""maintainer adjudication: create-issue EH: external helper, portable anchor, root binding, path display, or label outcome contract: create-issue displays the draft at the bound-root ABSOLUTE path""]"
literal:8633de725d17aa88eba3f5ad69e2efb2b2bf16bbfa178224d22032ce92276149	null	"[""boundary"",""Retain executable/configuration contract: Implement reads implement_pr_state through config-get with ready_for_review as the lifecycle default.""]"
literal:89125629f00349f2fe5fe4c6f1acf39a58358b26a06190415cbb6b8ba9fc5ef8	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
