adjudication_key	base_state	current_state
literal:166043a38d2a3a7afa5a4ebe21a74a08e6cde03d4799f8eaa8de86b495732cf7	"[""boundary"",""maintainer adjudication: create-issue EH: external helper, portable anchor, root binding, path display, or label outcome contract: create-issue invokes apply-labels.sh through the inline portable anchor""]"	null
literal:20d12e115ff3218d263ca2ea291a14203c2de3f4e5b3c3b713a223df63f20369	null	"[""boundary"",""Machine-consumed marker and payload schema.""]"
literal:22120dad95161582841e1787299b94966cb2d0de6db3ef218b88bbd1b471a7c2	null	"[""boundary"",""Machine-consumed section-end sentinel.""]"
literal:3a26e0b21cd366d0fea990d810eb5d935e264a07ee6997fccc0fe7efa73ee0bc	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:3bb319ebbece3c622d04a1722b309b2092dd50d0277615cdbc0e56f5878c07e3	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:4326bdfbbfa8e211dfbdcae4982b5a79cf516ee133184cc5356724fb5dc9f13c	null	"[""boundary"",""maintainer adjudication: create-issue EH: external helper, portable anchor, root binding, path display, or label outcome contract: create-issue invokes apply-labels.sh through the inline portable anchor""]"
literal:45da37568d26e6593ac8143e1ad78244a8eec20b83f39a80188f311f21b105ec	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:64eff7d097872986211f29fc50c67e98cb3a1feccdd8d596767dea0bb89878e6	"[""boundary"",""Machine-consumed marker and payload schema.""]"	null
literal:66216e72b7e9ae7078129811b0d4610cfbfa5828391560a2622bca1ffd5f06d3	null	"[""boundary"",""maintainer adjudication: review PB: progress marker/status boundary: #356 marker: skills/review/SKILL.md seeds the run-keyed review-progress marker""]"
literal:7ba64496aa58064bccc1004c7576c728b0cf32344fb30fe3a5685aabeee2114d	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:a629cd9c728f548b2b23f39582f765af188be49b21fa9901dde644da92972364	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:a8091f6685e2ceaf6a03b49f93bf0d3826acb23b0f9dbfe91bfdadb1bcf30140	"[""boundary"",""maintainer adjudication: review PB: progress marker/status boundary: #356 marker: skills/review/SKILL.md seeds the run-keyed review-progress marker""]"	null
literal:acb6c4d3ddf59ea2c90b0b2b6ebf59e4dfb638954920db73878b429ce7797ed3	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:ae4a8d2b2d328988ba47c00a924275fc7852f4badf736f3fc5c75771a2a7ad38	null	"[""boundary"",""Machine-consumed section-start sentinel.""]"
literal:b020df55b5ebfc80457763be2c3b26ace6ef8d54f8afa8c60368f7bedea02c4e	null	"[""boundary"",""Retain executable/helper contract: #275 pin (A2b): create-issue invokes ensure-label.sh through the inline portable anchor.""]"
literal:b3bb6ea3395a7acd2c21a0526239f6857f042d041213681a13c96d3bc66f9a62	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:c424b768a14da3a961afec3806a3518ff88df88d2e524299f6f9edda99e8a9bb	"[""boundary"",""Machine-consumed section-end sentinel.""]"	null
literal:cac2be0085af06eb0b8ca4404c03ffd142e6f0b9fe854c81a266528eba4007eb	"[""boundary"",""Retain executable/helper contract: #275 pin (A2b): create-issue invokes ensure-label.sh through the inline portable anchor.""]"	null
literal:dfff3ac9ae8682700ee45557008eac009c81cd484a22445e8289db003700e0f6	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:fdec6962fb023e3dc617fa963b81b4c262ade6a32009eb0ddbfb7e163fb09a74	"[""boundary"",""Machine-consumed section-start sentinel.""]"	null
