adjudication_key	base_state	current_state
literal:0167d73b3fbf14d4a1b46591037bdb324c37c57192fc3732f67c5c98a2cde234	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home; binds no slug of its own grep clean elsewhere; slug-reuse instruction read only by the runtime agent""]"	null
literal:01dcf2d7c45d80c0fc8035d286c972319756e8c7bfcc31ce838c34806720983e	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home (normalized scan); sweep-corroboration carve-out prose; no tool reads it""]"	null
literal:0223263a38d01180b48b81da1fddc5c3f9debbfaa9dc3ca706e16e57996a4482	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home; the tool emits convergence_basis=resolution-stale and the phrase is skill-composed chat rendering nothing parses""]"	null
literal:03dd692a3dcfbc75fe06e44e0f7b204a74427d2008ab022655632b71c7584a16	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; fail-closed rule for an empty git diff, executed by the agent; fragment output is NOT exempt only in loop-exit.md""]"	null
literal:04cfb19b41abf44ae7b20875179e37a43bbc5e4a6653ced7a528c7afa126b2a9	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home phase-4-documentation.md:514; fragments reflection-payload, run-transient scratch, Run-transient files are the exception all single-home; no scripts/lib/.github consumer""]"	null
literal:05a30460ad30ec6d1437f13c76a9f5c566f8ee7ef9be181586e5ee26bed8599a	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home SKILL.md:303; run.sh pins the reference edge markers themselves separately; no tool implements this cardinality/order check; fragment greps clean""]"	null
literal:074b390d8a0d6ce7746de3589b7a4ad17050b8d43cc402a62359bc9c2d0b4597	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; prose; only soft match elsewhere is an unrelated create-issue Step 4 sentence, not the same content""]"	null
literal:08715f8b3ee874508b84380805c57070768da7016a4c21e94e58604a06ff0a93	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home; sentinel text no tool matches; reflection consumers key on kind/section, not wording""]"	null
literal:0937faea2701334a5a931624ea0824b23c4d90f4b47455cca52bb012852127d0	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home in a normalized whole-tree scan; roster-vs-iterations prose; no consumer in scripts/lib/.github""]"	null
literal:09b6a2e61b6df1540435157e7e2b1f6a73ed4d5f03076b35c61323832fbfca84	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; section-heading presence pin (### 0.1.5); the machine artifact .devflow/tmp/displaced-paths.txt is not in the literal; cross-references use the number 0.1.5, not the phrase""]"	null
literal:0b5415ac80ede11f88a6830c4e9956c2070eb01c69c6a85c202cd734f64225f4	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; degrade-behavior prose at SKILL.md:46; module comment calls the T6 rows prose presence; no tool reads it; no second home""]"	null
literal:0b77d1ba2da72d6866d66c55efa2bf8e85dcdfc482a2dd568560283918dc6b86	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; describes init --force cost in prose no tool reads (counters reset at scripts/issue-audit-state.py:4909 with no prose mirror); fragment sweeps clean""]"	null
literal:0cce4fcd2952e2c2bd3d8274b24600b216f0a8a4260fe5e33b8dae3134df37aa	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; degraded-verifier prose; core clears a REJECT single-home""]"	null
literal:0d59f8923af31d706c48577a6a4ae3440b2e8b93e74259ffd8db8754e6a1bf21	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; batch-index arithmetic prose beside the pinned fence; core e=k*10 single-home; the fence itself carries the operative values""]"	null
