adjudication_key	base_state	current_state
literal:1838361198b1ffe3278c1ce16f2fe9f5242a2401cc186384e83f839be1516ea6	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:3539c300d9ebde27d80d235659a3c8d0f3f6d5a6f19f89177f66f848e88e396c	"[""boundary"",""maintainer adjudication: review-and-fix FIX_LOOP_CONTROL: Requires the existing comment-analyzer re-sweep.""]"	null
literal:3c5b62c98ea021451e64f469e8cd87931ceb389c82cd9f6f960e0156e8e923e1	"[""boundary"",""maintainer adjudication: review AR: agent dispatch/routing boundary: #425(rev): iteration-1 / standalone / absent-signal all exclude nothing (default-off)""]"	null
literal:497a25bcd0348598af215295e166924ef2e7f35b6c4bd93a600cd1570c173cdf	null	"[""boundary"",""Retain routing/state-transition contract: #550: implement Phase 3 wrapper names the plugin-qualified receiving-code-review.""]"
literal:9d9d583bfe8bea29f50bb893e65830a68de38bd83a140e3cd7de463072a282d2	"[""boundary"",""Retain routing/state-transition contract: #550: implement Phase 3 wrapper names the plugin-qualified receiving-code-review.""]"	null
literal:aa744c4457eff1ecbbc2e79da54354fe6312bb0db434d712e2080050c6446cc8	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
literal:acbd61577ffc1d626b26a82ac0208d58f463d105b2cf898d493a2d8cbba083c6	null	"[""boundary"",""maintainer adjudication: review-and-fix FIX_LOOP_CONTROL: Requires the existing comment-analyzer re-sweep.""]"
literal:b2bf673dbc44f56b76c99eb3e0b6e14a051af0ca375665684d8ad8e173c9de9d	null	"[""boundary"",""maintainer adjudication: review AR: agent dispatch/routing boundary: #425(rev): iteration-1 / standalone / absent-signal all exclude nothing (default-off)""]"
literal:c27794b2592cbdd585634ce358becd19c1e8ff8d1e01446045321c47fb32d639	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"	null
literal:e2749cc1c9475c058b23fa7b4dacab3e5899a1fa9ffe597b255213dd7585daec	null	"[""boundary"",""maintainer adjudication: declared security or interface boundary""]"
