adjudication_key	base_state	current_state
literal:03dd692a3dcfbc75fe06e44e0f7b204a74427d2008ab022655632b71c7584a16	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the fail-closed arm covering an empty or errored git diff on the same loop-exit.md line. Sole home; the run.sh pin over the same fail-closed rule was already adjudicated prose and retired under #885, and no parser reads the sentence.""]"	null
literal:154ff9b5eac6cda80bc2ef6b7130d39e122155f1ca207e865ec993c9ebab76da	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the named direct-Agent bypass in error-handling.md. Sole home; no tool parses this sentence. The file is whole-file SHA-pinned by scripts/devflow-cloud-writer-contract.json, which is an identity/change detector rather than a semantic reader, so it is not a consumer of this literal \u2014 but editing the file obliges re-running python3 lib/test/cloud_writer_contract.py generate in the same change or the required lib + python tests check goes RED.""]"	null
literal:1558ce6398bed02fc459f37ee84180710a6c1d1174bc1ce1d0a61ea4d7b10ca1	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the iteration-accounting rule in shadow-review.md that a promoted iteration 2 counts toward the cap. Sole home; the cap itself is enforced by the agent-executed MAX_ITERS clamp, and no helper derives cap accounting from this sentence.""]"	null
literal:1a7b2f8cfffa4e0d69bbb82cce56dd104c7e69b66d1a404a98ef3acc79b4e783	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the sourceability probe recipe inside guard-class shape 1 of the review-and-fix prompt extension. Directly probed: the file carries zero fenced code blocks, so extract-command-heads.py and extract-command-shapes.py cannot see it, and it is absent from every scanned population in lib/test/run.sh; the `type` head is therefore never reconciled against lib/capability-profiles.json.""]"	null
literal:1ae854487412857ef81de0bc90b83c44bc4c323de5f8949841a8817e852d1b5d	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the executable-RED evidence requirement in fixing.md. A claimed verbatim second home in .devflow/prompt-extensions/implement.md was checked directly and REFUTED: an exact-string grep over the whole tree returns only fixing.md, this module's pin, and the corpora, so the extension's sentence is a reword this substring pin never held. The twin obligation in skills/receiving-code-review/SKILL.md carries its own separately adjudicated pin and is unaffected.""]"	null
literal:2fdee39b645560a2be3f42952185c7ab0c95b46a8caeadecba82a4a91f1cc03e	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the logs-only post-shadow exemption arm in loop-exit.md. Sole home; no tool parses this sentence \u2014 the only lib/ and scripts/ mentions of loop-exit.md are comments in lib/efficiency-trace.sh, which consumes .devflow/logs/ only as its own write-path prefix. The file is whole-file SHA-pinned by scripts/devflow-cloud-writer-contract.json, which is an identity/change detector rather than a semantic reader, so it is not a consumer of this literal \u2014 but editing the file obliges re-running python3 lib/test/cloud_writer_contract.py generate in the same change or the required lib + python tests check goes RED.""]"	null
literal:3163f27c204c785532025d6dc9e3cf5ce49352eb2535fac7bad79deba2dd75ea	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the no-fix-iteration skip arm in fix-delta-gate.md, the gate's one sanctioned exemption. Sole home; no tool reads it.""]"	null
literal:3da4182939b6b7d0357cf6fed60048f6ee9889ca79679e90d70bc4cab06e6acc	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the integer-validation ERE in loop-control.md's max_iterations clamp recipe. Sole home (fragment sweep clean); the module's _raf_maxi_clamp is a lib/test reimplementation, which the census excludes by design and which is not a consumer. Mutation-probed: extract-command-heads.py and extract-command-shapes.py emit byte-identical output over the mutated recipe, so neither lint reads it. config.schema.json states the fallback rule in prose, not this regex.""]"	null
literal:5375c2064ada5b76f158e82ed6d96086fdb7bc25a65ffef018ed09f227ef4833	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the below-floor clamp arm of the same loop-control.md recipe. Sole home; no head or shape extractor emits anything for a bracket test, and no helper greps the recipe. The clamp's floor behavior is separately covered by executable assertions against config.schema.json's minimum.""]"	null
literal:53b97c011cb8d0d0ae7804d12e39f2b3986e5879e4390918d0571298d959f147	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the pushback routing clause in fixing.md item 2. Sole home. The machine-consumed token on that same line is the skip_category enum value read from fix_decisions, which is NOT inside this literal and whose authoritative home is the skip_category table further down the file, so retiring this pin leaves that vocabulary intact.""]"	null
literal:55ee86fd9dd710d8b28c099181180c22aeee513a0060481b5807de8bfe3995f0	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the gate's bounded re-dispatch guarantee in fix-delta-gate.md. Sole home; the 'fix-delta not verified' breadcrumb it governs is a reflection bullet the agent writes, and lib/cheap-gate.jq counts reflections without matching their text.""]"	null
literal:590a212499afd1d749aa8edb3fb543eaf15e3d1a2cd4db99aaef2989eac30aa6	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the block-presence gate rule in shadow-review.md. Sole home; the fields it gates (coverage, prompt_addenda) appear only in prose surfaces and no script or jq filter reads them.""]"	null
literal:5b740804b4a0ab4215b3005d115e416cfd0c54415924f3a76645769c815b64fe	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the provenance rule in shadow-review.md forbidding an inferred \""none\"" without live evidence. Sole home; no parser reads the sentence, and the attestation fields it governs are agent-written prose operands.""]"	null
literal:6cebe4699efd398a80a3e4f4f45ef596b30d11240d342c831895317645ed853a	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the MAX_ITERS=5 default-fallback assignment in loop-control.md. Sole counted home; the default value 5 is asserted executably against config.schema.json and config.example.json by this module without reference to this literal, so retiring the pin removes no coverage. A bare IDENT=value assignment yields no extracted head and trips no shape rule.""]"	null
literal:6e93cea96dd91077575a425a39aa42cfa4dfa9cf46056a73be3f01951d1ec6ed	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the gate's re-review scoping sentence in fix-delta-gate.md. Sole home; the operand it describes (git diff <iter_fix_base>..HEAD) is composed by the agent and no helper derives it from this sentence.""]"	null
literal:7248324416c743dbad6f79649a828c9d9b4ee71ebce5a78e111dd5935b395d83	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the park-calibration gate heading in shadow-review.md. Empirically probed: lint-subagent-extension-handoff.py's scan_file returns an empty result over this file both with and without the heading line, and the file's registry record carries handoff 'inherited', which audit() exempts from the scan-reach direction; declared_non_dispatch is empty.""]"	null
literal:81fdb2545e56fbc00c0f1cb21a2aa44ae1a83b220c17fc5f1310696768fbc92d	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the complementary non-exemption clause on the same loop-exit.md line. Sole home; same absence of a parser as the exemption arm it pairs with.""]"	null
literal:a631724aecaf1c1476f2a7e00986f186abcd743f046bfbcf463dacf93f28a471	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the mandatory clean sentinel in the gate's reflection bullet. Re-verified independently of the step-1 rationale: an unfiltered whole-tree grep for the sentinel finds only shadow-review.md, this module's pin, and the frozen corpora. lib/efficiency-trace.sh's shadow handling is field-based (SHADOW_SYNTH_EXPECTED_FIELDS, a closed provenance-value set) and greps no sentinel; the reflection consumers lib/fetch-pr-context.sh and lib/cheap-gate.jq key on section and glyph, never wording.""]"	null
literal:a7429187058666b8e150f6aa27b4979299c1ef884d94c6fa8483efe9a89f5207	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the over-grade calibration gate heading in shadow-review.md, sibling to the park-calibration heading. Same empirical lint probe: deleting the heading leaves scan_file's output unchanged.""]"	null
literal:be5ed25ad801ddde5e41af030f34022dbdb71ec2ca54aff9fd408954695bcfe3	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the gate's on-a-match routing sentence in shadow-review.md. Sole home. The promotion PROVENANCE values on the same page (park-calibration-post-shadow / -pre-shadow) are read by lib/efficiency-trace.sh, but they are separate literals with their own pins and are not contained in this one.""]"	null
literal:c09b19832a178813d1f4448956d0d3878031f352199d1285dbf9cc78861412a0	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the scoped-staging prohibition in fixing.md item 6. Sole home. lib/efficiency-trace.sh's SHARED FIX-COMMIT SUBJECT CONTRACT parses exactly one fixing.md literal, the commit-subject template three lines below this one, and never the staging prose. phase-2-implement.md restates the prohibition in different words for the implement sweep, which no substring pin can hold to it.""]"	null
literal:ca3b0f52b4825ae9572de9403a093983992d58902c082a66fe393ee52b077ca3	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the verify-the-prescription instruction in fixing.md item 2. Sole home across skills, docs, agents and the prompt extensions; the general principle it cites lives in skills/receiving-code-review/SKILL.md in unrelated wording.""]"	null
literal:ca96b9d471c9636e273874811490e0fb61038b89037473681378c0ddcbee1d4a	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the guard-class shape 1 heading in this repo's review-and-fix prompt extension. scripts/load-prompt-extension.sh reads the file as whole bytes (its --section mode is used only by create-issue), and lint-subagent-extension-handoff.py keys heading text solely off declared_non_dispatch, which is empty and names no section of this file. Every cross-reference to this class elsewhere cites the class NUMBER, not the heading wording.""]"	null
literal:d76b2c379e50996436efc965d52f12b13a03ce25079ba9a0856d66ff3690e973	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the guard-class shape 2 heading in the review-and-fix prompt extension. Same loader and lint analysis as shape 1; CLAUDE.md and the implement surfaces cite 'guard-class 2' by number, never this heading string, so the literal participates in no cross-file reference.""]"	null
literal:e5469ba0c3db76066cf7362d336de47d3e7b75c6c9825fd7257576c9c5e2a5c0	"[""prose-sole-copy"",""retirable: agent-executed prompt prose, no tool or consumer reads it; the re-sweep's operative finding condition in fixing.md. Sole home; no parser reads it.""]"	null
