adjudication_key	base_state	current_state
literal:0223263a38d01180b48b81da1fddc5c3f9debbfaa9dc3ca706e16e57996a4482	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home; the tool emits convergence_basis=resolution-stale and the phrase is skill-composed chat rendering nothing parses""]"	null
literal:0b5415ac80ede11f88a6830c4e9956c2070eb01c69c6a85c202cd734f64225f4	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; degrade-behavior prose at SKILL.md:46; module comment calls the T6 rows prose presence; no tool reads it; no second home""]"	null
literal:0b77d1ba2da72d6866d66c55efa2bf8e85dcdfc482a2dd568560283918dc6b86	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; describes init --force cost in prose no tool reads (counters reset at scripts/issue-audit-state.py:4909 with no prose mirror); fragment sweeps clean""]"	null
literal:106fab00ebf3d5d1838e26c97d8ab35ce8f7cef979201324f36e040277e2a279	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; rationale prose for the tools compare-time choice; whole-literal and 3 fragment sweeps over the tracked tree clean""]"	null
literal:28b240eabcdb8d854824bd2d04108239cb53bc02c6211f3ff1afbad4a839e1bf	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; information-diet omission prose, nothing machine-side; whole-literal and 3 fragment sweeps over the tracked tree clean""]"	null
literal:2c7017a05e8e0096ab63fb061aa1c7c82c25a30fe4fad9668da821e51ab6d5d6	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; template-unreadable appears in no scripts/lib/skills/docs file: it is a skill-composed chat marker and the prose states the state owner field set is untouched""]"	null
literal:4e6687894d7a3a2eadfb1a26a89d3a51b541213297426524bf835d80752e4a9f	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; claim-about-verified-fact framing sentence; grep for claim about verified fact across scripts/lib/skills/docs found nothing""]"	null
literal:532bb008c90c8388848f1e33bb6324e90376afbfe15433897ded3740ed59a414	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; no-amend-path framing sentence; grep for wholesale misadjudication across scripts/lib/skills/docs found nothing""]"	null
literal:627785e14eee6c3170681778144958fd5801a9843aecf439301cc14e58483a92	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; the flag-omission advice carries no machine token and the tools own help text states the fail-closed handling instead; 3 fragment sweeps clean""]"	null
literal:716ca7a019c622eec9167187cfe02cb1fe75ab1a7ae82ed10105329c94f75be7	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; a four-word wording fragment with no machine token; exact-literal sweep over the tracked tree found no other home""]"	null
literal:7bbf23eba7c9318545074c039a686dd675b951717cd54c578371e5badd77b525	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; no-confirmed-fix-no-resolution exhortation with no machine token; whole-literal and 3 fragment sweeps over the tracked tree clean""]"	null
literal:8638f84bc0e91731a3fdd4051cefa2a71fc396f5b004f4df98988a653727486e	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; presence pin over a secondary declaration sentence; sole home; no tool reads it""]"	null
literal:891acb929eeb3412f9455f121446255650bf685ca91682f030b84e66600581b5	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; ownership exhortation with no machine token; whole-literal and 3 fragment sweeps over the tracked tree clean""]"	null
literal:9c0f38d1398522ae52bedfa6d812cdb8c108369119a528388e5d94d33bd14d7b	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; the module's T2 block parses the real markers and reconciles the routing rows independently; this rule sentence is agent-read prose; only home SKILL.md:44""]"	null
literal:ae8b55ff47631a726610cef89be8ba3d2096fd4e2cef53cb815c6cb753728bea	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; file-read-tool instruction at SKILL.md:44; the routing-table parser reads only rows starting with a pipe containing references/; only home""]"	null
literal:b6b2be69e49a64d349a19ef3e370d80a05a0da8823e72d7db972013a82ed0bf6	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; breadcrumb wording at SKILL.md:46; no tool parses the breadcrumb; fragment greps found only the home""]"	null
literal:c353c51f1953e368b48766a440eea5b57788e2f3a081c049b91fb88e26ae22ff	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; heredoc-authoring exhortation, no machine token; whole-literal and 3 fragment sweeps over the tracked tree clean""]"	null
literal:c7b4281f6deebb83d59ec6d8e54c0c4f063b27a87f46de466bad92354440aad9	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; read-back-not-recollection exhortation, no machine token; whole-literal and 3 fragment sweeps clean (hits were generic 3-word cores)""]"	null
literal:da42e88cd0f57a0a44b71f93a96ef4bae9d9295aec68e7be9b40975a1536e18b	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; same-turn disclosure prose the tool cannot observe; whole-literal and 3 fragment sweeps over the tracked tree clean""]"	null
literal:ddc5cb8ddc9976eb2342953cde08df0074a95248f13aed9bd86c3460051f35e5	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; per-run ceiling is enforced by record-offer but nothing reads this sentence; whole-literal and 3 fragment sweeps over the tracked tree clean""]"	null
literal:df2e289f424a1526f907029711ce72f74b37be90a81d2a27338f7d3156093b68	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home step-2-clarify.md:39; heading extraction is owned/tested by scripts/render-audit-prompt.py, adjacent prose pin already retired; greps clean""]"	null
literal:e203b974d09d728cd32022b98f4291851b917066d2f5d07428fb428bed38fbe3	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; tool-owns-the-arm exhortation with no machine token; whole-literal and 3 fragment sweeps clean (hits were generic 3-word cores only)""]"	null
literal:e786ce8feaea036ef5d7a31f5319d7ed8f4d04c8c43eecfed9616babb3966186	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home; offer wording naming no machine token; whole-literal and 3 fragment sweeps clean (hits were generic 3-word cores)""]"	null
literal:ec4fa6f15acf7427b36a7e4c4bd22544b43c337f9169d78891ece3f4634cc8f8	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; malformed-shape enumeration at SKILL.md:46; T2 asserts the shapes executably without this sentence; fragment greps found only the home""]"	null
literal:f3d9cf25c8b4ad1c3259c73b1673f532c6686282d9328c43c3cc2d428c389efc	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home; a do-not-recollect rule read only by the agent; query-summary invocation itself is pinned by the adjacent fence, not by this sentence""]"	null
