adjudication_key	base_state	current_state
literal:06660186c5e157d995f340db068be03f7d552958ba931902805e5b8430838b2d	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:0713061e2ef9391f7ae9f11382f3a0e91a9f6d3abb39941b11c867c2b23d5200	["boundary","maintainer adjudication: final-modules state-title: Maps the ci-approval-required state to its documented check-run title."]	null
literal:14c13992d3c9ad5f4b087d6a9ecddb91f6c7031544bef5add0d7f685026a0174	["boundary","maintainer adjudication: final-modules workflow-state: Writes the workflow output that makes the incomplete review eligible for the backstop."]	null
literal:21c0ed3915c8a889026ac117a40db4eaf9b2dc6e79e7f87f50eee7164816f039	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:36786da3e6d931301c1f94ee8bdebd457ac4e4e96d09c406dbc50b69c0d530eb	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:37e31d37a1509ad4674249c0d7136fdd3a3484c2ea8055d94160ef5f5edd4daf	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:3d69fdecb0f8c0a1b37d66acd0b0364396b2d6ec111cb05a1b4c6b90fa079a41	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:3fa0ac6e529d0b83a713ac568de70705bd93c4f87cfc4c1649c61c1daf17f78e	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:43d2e9268f7cdaf177cf2fb81880b8f2043ad16a4ae127b6c2cc7c2d74b25646	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:480cfb3a8f5ae9c6bdbee07109e2f611d3438bf075c53d121057faceb3b57373	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:4a81c9df18ffb0e03266f049f544c63c5f6ddc29a87e65dc1e819a09ac2e5372	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:61f883139f4135892bd3c351d0d70c145079452cd2199c39fb662a98acdb4386	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:73c4c5bb0eada5546173f9d97a6bae18a1607623b0352c283cf71726d7ad22dd	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:a592781f4e4ebdfd526d26476960765848f0c1d917988ab3fd5105db23ec2f17	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:c1877869aceaf7b87254841336ea9ca0df7082aafa26bb23800cf14c2b5e4f94	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:c720fb8d32c2498d2437bf7de96d3a9bcc63735056ef6e963f6824027e84fd91	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:d0b94582eba64570cb684c8ad13974fcdb72c43a08a95828922e792842358b4c	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:d7c22a326de603b9d828e23489694da167d8f6442a482dc3e75c61bee41c2a4f	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:e093bc5c3147943a09d1c3e36e1b0e83f6e94401377073d8d3ce7abcd924f9da	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:e0b63ac9667a88f9a86f6170e7b0120a8098749ca5bdf78efd1bd081f5bd9a7b	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:f95fe83170966fa6f9291f92ba9d20c4ed9261d7c5394c5a3d2454687866ebd4	["boundary","maintainer adjudication: declared security or interface boundary"]	null
literal:fc6fdf54e94b54f2c20be14a893222db45000d4e4bbb8c0414fb2a8854aaf850	["boundary","maintainer adjudication: declared security or interface boundary"]	null
