adjudication_key	base_state	current_state
literal:0167d73b3fbf14d4a1b46591037bdb324c37c57192fc3732f67c5c98a2cde234	"[""boundary"",""maintainer adjudication: create-issue TR: checklist state writer/reader, slug binding, status marker, or creation-time contract: the fallback block binds no slug of its own, reusing Step 1's""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home; binds no slug of its own grep clean elsewhere; slug-reuse instruction read only by the runtime agent""]"
literal:01dcf2d7c45d80c0fc8035d286c972319756e8c7bfcc31ce838c34806720983e	"[""boundary"",""maintainer adjudication: review-and-fix SHADOW_CONTROL: Defines precedence for parked-sibling shadow handling.""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home (normalized scan); sweep-corroboration carve-out prose; no tool reads it""]"
literal:0223263a38d01180b48b81da1fddc5c3f9debbfaa9dc3ca706e16e57996a4482	"[""boundary"",""maintainer adjudication: create-issue LG: per-finding ledger read/write, reconciliation, or post-close state contract: the stale resolution-basis summary phrase""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home; the tool emits convergence_basis=resolution-stale and the phrase is skill-composed chat rendering nothing parses""]"
literal:03dd692a3dcfbc75fe06e44e0f7b204a74427d2008ab022655632b71c7584a16	"[""boundary"",""maintainer adjudication: review-and-fix FAIL_CLOSED: Prevents an empty or failed diff from bypassing the gate.""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; fail-closed rule for an empty git diff, executed by the agent; fragment output is NOT exempt only in loop-exit.md""]"
literal:04cfb19b41abf44ae7b20875179e37a43bbc5e4a6653ced7a528c7afa126b2a9	"[""boundary"",""maintainer adjudication: reflection payload cleanup is a cross-phase scratch handoff boundary""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home phase-4-documentation.md:514; fragments reflection-payload, run-transient scratch, Run-transient files are the exception all single-home; no scripts/lib/.github consumer""]"
literal:05a30460ad30ec6d1437f13c76a9f5c566f8ee7ef9be181586e5ee26bed8599a	"[""boundary"",""maintainer adjudication: review-and-fix REFERENCE_INTEGRITY: Defines exact ordered reference-boundary validation.""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; only home SKILL.md:303; run.sh pins the reference edge markers themselves separately; no tool implements this cardinality/order check; fragment greps clean""]"
literal:0713061e2ef9391f7ae9f11382f3a0e91a9f6d3abb39941b11c867c2b23d5200	null	"[""boundary"",""maintainer adjudication (#885): restores the row #936 dropped while the pin survived; scripts/describe-skip-title.sh emits this check-run title and docs/workflow-triggers.md documents it""]"
literal:074b390d8a0d6ce7746de3589b7a4ad17050b8d43cc402a62359bc9c2d0b4597	"[""boundary"",""Failure-path routing and liveness contract.""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; prose; only soft match elsewhere is an unrelated create-issue Step 4 sentence, not the same content""]"
literal:08715f8b3ee874508b84380805c57070768da7016a4c21e94e58604a06ff0a93	"[""boundary"",""maintainer adjudication: review-and-fix SENTINEL: Defines the over-grade clean completion sentinel.""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home; sentinel text no tool matches; reflection consumers key on kind/section, not wording""]"
literal:0937faea2701334a5a931624ea0824b23c4d90f4b47455cca52bb012852127d0	"[""boundary"",""Shadow dispatch cardinality is a routing and cross-phase review contract.""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; sole home in a normalized whole-tree scan; roster-vs-iterations prose; no consumer in scripts/lib/.github""]"
literal:09b6a2e61b6df1540435157e7e2b1f6a73ed4d5f03076b35c61323832fbfca84	"[""boundary"",""maintainer adjudication: review MR: modular phase-routing/cross-phase boundary: #504 AC6 Phase 0.1.5 scratch persistence""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; section-heading presence pin (### 0.1.5); the machine artifact .devflow/tmp/displaced-paths.txt is not in the literal; cross-references use the number 0.1.5, not the phrase""]"
literal:0b5415ac80ede11f88a6830c4e9956c2070eb01c69c6a85c202cd734f64225f4	"[""boundary"",""maintainer adjudication: create-issue RS: reference-loader entry marker, degradation, breadcrumb, or file-read security gate: the root ships the total degrade rule (no failure arm terminates the run)""]"	"[""prose-sole-copy"",""maintainer adjudication (#885): agent-executed prompt prose, no tool or consumer reads it; degrade-behavior prose at SKILL.md:46; module comment calls the T6 rows prose presence; no tool reads it; no second home""]"
