# snapshot: reconciled residual prose-pin retirement population
# source-revision: 1d4d306bcacd4970df170faeab94e602724943b8
# selector-identity-sha256: 7505469a1b2538622d653cc225fe3571bf9c41d4d3c004011241e89b1e93bf40
# raw-selector-canonical-sha256: 7505469a1b2538622d653cc225fe3571bf9c41d4d3c004011241e89b1e93bf40
# audit-mapping-sha256: f15081310f5d1b9ab9aad0e136addbf4fd98e190b1f6b04374f49c1f63de3e16
# canonical-bytes: 51267
# canonical-sha256: c21b8201799c6b1f409718906830bb7b9045ab565a8bb3c8cb99e16db647f12c
source_file	helper	assertion_name	literal	resolved_target	target_defaulted	surface	disposition	rationale
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_present	"""#443: Step 3.6 names the VERDICT: FILE legal value"""	"""VERDICT: FILE"""	"""/__pin_corpus_runtime__/CI_BUNDLE"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain exact schema/sentinel contract: #443: Step 3.6 names the VERDICT: FILE legal value.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_present	"""#443: Step 3.6 names the VERDICT: REVISE legal value"""	"""VERDICT: REVISE"""	"""/__pin_corpus_runtime__/CI_BUNDLE"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain exact schema/sentinel contract: #443: Step 3.6 names the VERDICT: REVISE legal value.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_present	"""#522: Step 3.6 names the VERDICT: DRAFT-UNREADABLE legal value"""	"""VERDICT: DRAFT-UNREADABLE"""	"""/__pin_corpus_runtime__/CI_BUNDLE"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain exact schema/sentinel contract: #522: Step 3.6 names the VERDICT: DRAFT-UNREADABLE legal value.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#443: audit prompt reserves exactly one Quiet Killer slot"""	"""\""Quiet Killer\"""""	"""/__pin_corpus_runtime__/CI_TMPL_AUDIT"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain operative cross-surface contract: #443: audit prompt reserves exactly one Quiet Killer slot.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#443: audit summary renders the word degraded whenever the degraded arm ran"""	"""the word \""degraded\"""""	"""/__pin_corpus_runtime__/CI_BUNDLE"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain routing/state-transition contract: #443: audit summary renders the word degraded whenever the degraded arm ran.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#443: live create-issue extension carries the exact ## Audit dimensions heading"""	"""## Audit dimensions"""	"""/__pin_corpus_runtime__/CI_EXT"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain operative cross-surface contract: #443: live create-issue extension carries the exact ## Audit dimensions heading.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#462 rule3: zero arm states the falsifiable no-dependencies claim, not a count"""	"""the mechanism invokes no in-repo helpers, resolvers, or gates"""	"""/__pin_corpus_runtime__/CI_BUNDLE"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain routing/state-transition contract: #462 rule3: zero arm states the falsifiable no-dependencies claim, not a count.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#464 AC1: Step 3.6 generic checklist gains the adversarial-third-party-input dimension"""	"""Adversarial third-party input"""	"""/__pin_corpus_runtime__/CI_TMPL_AUDIT"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain security/integrity boundary: #464 AC1: Step 3.6 generic checklist gains the adversarial-third-party-input dimension.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#464 AC3: Move 2 writes the coverage-sweep output back as closed AC items before filing"""	"""writes the sweep's output back as additional closed AC items before filing"""	"""/__pin_corpus_runtime__/CI_TMPL"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain routing/state-transition contract: #464 AC3: Move 2 writes the coverage-sweep output back as closed AC items before filing.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#467 A3: the generic-dimension-checklist sed END anchor is present and unique"""	"""{CONSUMER_DIMENSIONS}"""	"""/__pin_corpus_runtime__/CI_TMPL_AUDIT"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain executable/helper contract: #467 A3: the generic-dimension-checklist sed END anchor is present and unique.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#467 C1: quality-checklist mirror for the conditional-path premise check"""	"""enclosing gates/conditionals and their defaults on the path to X"""	"""/__pin_corpus_runtime__/CI_TMPL"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain operative cross-surface contract: #467 C1: quality-checklist mirror for the conditional-path premise check.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#467 C3: quality-checklist mirror for the trust-boundary closure rule"""	"""transitive source/exec/import closure of its entry points"""	"""/__pin_corpus_runtime__/CI_TMPL"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain security/integrity boundary: #467 C3: quality-checklist mirror for the trust-boundary closure rule.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#467 D1: introduction trigger names a blanket testing-scope waiver non-conforming"""	"""blanket testing-scope waiver"""	"""/__pin_corpus_runtime__/CI_TMPL"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Retain operative cross-surface contract: #467 D1: introduction trigger names a blanket testing-scope waiver non-conforming.
"""lib/test/modules/create-issue-contract.sh"""	devflow_module_pin_unique	"""#467 D2 (CLAUDE.md leg): best-effort-parser gotcha widened to mutable-markdown/external-format"""	"""The governed surface is broader than config JSON"""	"""/__pin_corpus_runtime__/CI_CLAUDE"""	false	Implement/Create-Issue	RETAIN_BOUNDARY	Ambiguous shared repo-policy prompt; included because this literal is explicitly coupled to an Implement/Create-Issue contract. Retain operative cross-surface contract: #467 D2 (CLAUDE.md leg): best-effort-parser gotcha widened to mutable-markdown/external-format.
